,City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
87,chuy,UY,1581468940,1,76,-33.7,-53.46,292.12,4.1
88,rock sound,BS,1581469385,10,85,24.9,-76.2,297.83,6.0
89,cape town,ZA,1581468922,0,68,-33.93,18.42,295.37,2.1
90,kodiak,US,1581468923,90,89,57.79,-152.41,273.15,8.2
91,sao joao da barra,BR,1581468931,75,94,-21.64,-41.05,296.15,7.2
92,albany,US,1581468654,90,84,42.6,-73.97,276.15,4.6
93,bethel,US,1581468760,90,93,41.37,-73.41,280.93,1.5
94,chokurdakh,RU,1581468940,65,67,70.63,147.92,239.78,0.23
95,pampa,US,1581469365,90,69,35.54,-100.96,276.15,2.1
96,rocha,UY,1581468971,28,86,-34.48,-54.33,288.56,2.71
97,bam,IR,1581469502,1,43,29.11,58.36,288.02,7.75
98,ilulissat,GL,1581468944,15,60,69.22,-51.1,248.66,1.62
99,hofn,IS,1581469502,98,57,64.25,-15.21,273.39,5.88
100,aklavik,CA,1581468940,40,75,68.22,-135.01,247.15,2.6
101,ascension,US,1581468984,90,73,30.22,-90.9,299.15,2.6
102,coos bay,US,1581469502,1,76,43.37,-124.22,284.26,5.1
103,port alfred,ZA,1581468923,1,93,-33.59,26.89,291.48,1.79
104,bengkulu,ID,1581468936,100,82,-3.8,102.27,296.97,1.64
105,vostok,RU,1581468976,98,88,46.49,135.88,270.49,3.15
106,bandarbeyla,SO,1581468925,44,80,9.49,50.81,297.75,7.68
107,massena,US,1581469262,90,93,44.93,-74.89,273.15,5.1
108,thompson,CA,1581468829,20,61,55.74,-97.86,242.15,4.6
109,butaritari,KI,1581468918,91,79,3.07,172.79,301.51,6.58
110,cidreira,BR,1581468929,10,72,-30.18,-50.21,296.26,9.33
111,kapaa,US,1581468926,75,88,22.08,-159.32,297.15,8.7
112,tual,ID,1581469503,77,73,-5.67,132.75,301.86,5.3
113,allada,BJ,1581469503,20,78,6.67,2.15,300.15,1.5
114,apatou,GF,1581469265,12,96,5.16,-54.35,295.52,1.73
115,meulaboh,ID,1581469504,65,83,4.14,96.13,300.61,4.71
116,upernavik,GL,1581468974,100,75,72.79,-56.15,250.66,0.85
117,binga,ZW,1581469504,99,82,-17.62,27.34,296.42,5.0
118,pevek,RU,1581468970,0,75,69.7,170.31,249.45,2.38
119,riyadh,SA,1581468814,0,40,24.69,46.72,276.15,2.1
120,stornoway,GB,1581469504,100,86,58.21,-6.39,277.15,8.2
121,khatanga,RU,1581468944,0,96,71.97,102.5,240.32,1.23
122,whitehorse,CA,1581469504,75,66,60.72,-135.05,261.48,2.1
123,alta floresta,BR,1581469504,95,94,-9.88,-56.09,296.24,1.1
124,cherskiy,RU,1581468922,0,56,68.75,161.3,252.22,5.35
125,salalah,OM,1581468975,75,73,17.02,54.09,297.15,1.0
126,atasu,KZ,1581468948,0,64,48.68,71.64,254.81,4.28
127,mogadishu,SO,1581468951,0,84,2.04,45.34,299.22,8.3
128,marfino,RU,1581469505,75,94,55.7,37.38,275.93,3.0
129,avarua,CK,1581468918,100,74,-21.21,-159.78,302.15,3.03
130,raga,SS,1581468968,20,20,8.46,25.68,288.56,2.84
131,emba,KZ,1581469505,100,96,48.83,58.14,262.21,0.34
132,vestmannaeyjar,IS,1581468940,1,67,63.44,-20.27,270.26,8.37
133,asau,RO,1581469505,0,69,46.43,26.4,274.26,1.5
134,superior,US,1581468983,90,62,46.72,-92.1,269.82,4.1
135,talnakh,RU,1581468921,40,84,69.49,88.4,256.15,17.0
136,mokokchung,IN,1581469506,6,84,26.33,94.53,285.27,1.14
137,cascais,PT,1581469506,20,93,38.7,-9.42,286.15,2.6
138,tanda,IN,1581469506,0,66,26.55,82.65,281.89,2.12
139,hay river,CA,1581469225,20,60,60.82,-115.8,241.15,2.3
140,karratha,AU,1581468930,32,79,-20.74,116.85,299.21,6.21
141,chengde,CN,1581469392,0,75,40.97,117.94,271.61,1.03
142,lexington,US,1581469211,40,86,37.99,-84.48,277.15,2.1
143,broome,US,1581468977,75,90,42.25,-75.83,274.82,2.37
144,bima,ID,1581469507,98,91,-8.47,118.72,297.98,0.44
145,toamasina,MG,1581469507,20,83,-18.17,49.38,297.15,4.1
146,totness,SR,1581469507,52,80,5.88,-56.32,299.53,8.45
147,namie,JP,1581469507,0,59,37.48,141.0,283.71,1.5
148,kudahuvadhoo,MV,1581469507,70,76,2.67,72.89,301.21,7.54
149,camacha,PT,1581469507,75,87,33.08,-16.33,290.15,1.0
150,tortoli,IT,1581469507,75,2,39.93,9.66,290.15,13.4
151,port elizabeth,ZA,1581468957,0,88,-33.92,25.57,293.15,6.2
152,zahir pir,PK,1581469508,4,60,28.81,70.52,287.17,5.32
153,provideniya,RU,1581468920,90,84,64.38,-173.3,256.15,9.0
154,tiznit,MA,1581469508,29,19,29.58,-9.5,289.56,1.86
155,petropavlovskoye,RU,1581469508,0,82,52.07,84.11,252.47,1.4
156,harper,LR,1581469508,71,86,4.38,-7.72,298.48,1.05
157,durusu,TR,1581469508,75,81,41.31,28.68,282.04,3.6
158,ahipara,NZ,1581468978,0,63,-35.17,173.17,302.04,0.45
159,alice springs,AU,1581468794,9,17,-23.7,133.88,307.15,2.6
160,avera,US,1581468983,40,100,33.19,-82.53,296.15,2.1
161,nome,US,1581468720,1,64,64.5,-165.41,254.82,2.1
162,preobrazheniye,RU,1581469509,4,88,42.9,133.91,274.82,2.27
163,klaksvik,FO,1581468920,82,80,62.23,-6.59,274.15,7.7
164,bozoum,CF,1581469509,100,22,6.32,16.38,292.25,2.06
165,jiwani,PK,1581469509,38,69,25.05,61.74,295.18,2.66
166,bulgan,MN,1581469509,100,95,48.81,103.53,259.26,2.49
167,nemuro,JP,1581469509,40,58,43.32,145.57,269.15,3.1
168,hobart,AU,1581468848,75,77,-42.88,147.33,292.04,6.7
169,karasuk,RU,1581469509,3,85,53.74,78.04,254.31,4.64
170,sibolga,ID,1581469509,99,94,1.74,98.78,294.93,2.01
171,okhotsk,RU,1581469509,100,75,59.38,143.3,254.31,0.92
172,quatre cocos,MU,1581468976,75,88,-20.21,57.76,299.82,6.2
173,mahebourg,MU,1581468941,75,88,-20.41,57.7,299.82,6.2
174,san roque,ES,1581469510,49,82,36.21,-5.38,289.15,7.7
175,kota kinabalu,MY,1581469510,75,70,5.97,116.07,302.15,2.1
176,hangu,CN,1581469510,35,86,39.25,117.79,275.15,4.67
177,yokadouma,CM,1581469510,41,31,3.52,15.05,291.23,0.56
178,kloulklubed,PW,1581469510,90,88,7.04,134.26,298.15,6.2
179,camopi,GF,1581469511,75,98,3.17,-52.32,295.85,1.64
180,fort nelson,CA,1581469511,90,78,58.81,-122.7,261.15,1.0
181,palimbang,PH,1581469511,75,76,6.21,124.19,299.86,2.65
182,novikovo,RU,1581468928,99,93,51.15,37.89,270.5,7.3
183,xifeng,CN,1581469511,32,80,42.74,124.72,274.32,4.14
184,boyuibe,BO,1581469511,36,89,-20.42,-63.28,290.35,0.99
185,nikolskoye,RU,1581468927,75,95,59.7,30.79,274.82,3.0
186,vaitape,PF,1581469511,15,81,-16.52,-151.75,300.57,6.84
187,raglan,NZ,1581469511,0,44,-37.8,174.88,301.48,3.13
188,labuhan,ID,1581468984,100,88,-6.88,112.21,298.27,0.79
189,sawakin,SD,1581469512,100,68,19.11,37.33,294.07,9.11
190,margate,GB,1581469512,0,62,51.38,1.39,278.15,8.7
191,mount isa,AU,1581468925,9,19,-20.73,139.5,308.15,4.1
192,xingyi,CN,1581469512,0,94,24.19,102.82,280.68,1.18
193,guilin,CN,1581469512,90,100,25.28,110.29,286.15,0.61
194,opportunity,US,1581469443,20,46,47.65,-117.24,283.15,4.1
195,chimbote,PE,1581469445,50,80,-9.09,-78.58,295.03,3.09
196,lebu,CL,1581468924,0,77,-37.62,-73.65,290.14,3.59
197,sheridan,US,1581469512,90,53,44.83,-106.92,270.37,2.1
198,haines junction,CA,1581468923,55,90,60.75,-137.51,257.31,1.39
199,olinda,BR,1581468965,40,78,-8.01,-34.86,301.15,3.6
200,borovoy,RU,1581469513,98,84,55.43,86.08,255.15,5.0
201,kavaratti,IN,1581468933,3,71,10.57,72.64,300.38,3.02
202,grand gaube,MU,1581468962,75,88,-20.01,57.66,299.82,6.2
203,mocuba,MZ,1581469513,100,97,-16.84,36.99,296.44,0.87
204,acari,PE,1581469513,99,80,-15.43,-74.62,293.76,1.87
205,tromso,NO,1581469514,75,98,69.65,18.96,273.15,8.7
