,City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
385,itarema,BR,1581468950,99,91,-2.92,-39.92,297.66,1.52
386,san cristobal,VE,1581469534,44,54,7.77,-72.22,302.15,1.0
387,bousso,TD,1581469534,8,15,10.48,16.71,293.2,4.46
388,pingliang,CN,1581469534,0,71,35.54,106.69,273.35,2.48
389,cairns,AU,1581469535,75,49,-16.92,145.77,307.15,2.1
390,annau,TM,1581469535,90,100,37.89,58.52,274.15,2.1
391,qaanaaq,GL,1581469535,0,68,77.48,-69.36,245.26,5.63
392,bambanglipuro,ID,1581469535,88,83,-7.95,110.28,298.31,1.23
393,port blair,IN,1581468813,35,75,11.67,92.75,300.0,7.66
394,najran,SA,1581468968,5,57,17.49,44.13,284.15,3.1
395,fangshan,CN,1581469535,0,100,39.7,115.99,278.15,2.0
396,craig,US,1581469535,1,71,40.52,-107.55,263.15,0.86
397,eureka,US,1581469535,1,66,40.8,-124.16,289.15,8.7
398,nokaneng,BW,1581469536,1,81,-19.67,22.27,294.36,2.42
399,pierre,US,1581469536,1,44,44.37,-100.35,276.48,3.1
400,toora-khem,RU,1581469536,66,99,52.47,96.11,249.47,1.15
401,guerrero negro,MX,1581468956,8,57,27.98,-114.06,290.41,4.4
402,forbes,AU,1581469536,2,46,-33.38,148.02,303.71,0.45
403,campbell river,CA,1581469536,75,81,50.02,-125.24,280.15,2.6
404,sayansk,RU,1581469536,45,95,54.11,102.16,251.51,0.84
405,kantunilkin,MX,1581469362,20,78,21.09,-87.45,299.15,4.6
406,mizdah,LY,1581469537,0,26,31.45,12.98,284.71,3.87
407,asfi,MA,1581469537,0,78,32.3,-9.24,284.88,1.98
408,soe,ID,1581469537,98,71,-9.86,124.28,299.83,0.85
409,qaqortoq,GL,1581469537,88,42,60.72,-46.03,258.15,2.6
410,miandrivazo,MG,1581469537,67,85,-19.52,45.47,297.88,0.96
411,hambantota,LK,1581468707,40,100,6.12,81.12,298.15,5.1
412,xai-xai,MZ,1581469537,100,91,-25.05,33.64,296.07,4.52
413,funehiki,JP,1581469537,0,59,37.43,140.58,283.71,1.5
414,kamenka,RU,1581469537,100,84,51.32,42.77,265.93,4.02
415,surgut,RU,1581469538,40,92,61.25,73.42,264.15,5.0
416,prince rupert,CA,1581469538,1,67,54.32,-130.32,279.15,2.1
417,kahului,US,1581468977,40,60,20.89,-156.47,297.15,5.1
418,sambava,MG,1581468974,1,98,-14.27,50.17,293.97,1.2
419,beni,CD,1581469538,99,59,0.5,29.47,293.49,1.0
420,katsuura,JP,1581469538,75,48,35.13,140.3,284.82,1.5
421,warrnambool,AU,1581469538,100,97,-38.38,142.48,291.48,8.37
422,sakaiminato,JP,1581469539,75,81,35.55,133.23,280.15,1.5
423,ulaangom,MN,1581469539,100,63,49.98,92.07,263.0,4.61
424,pangai,TO,1581469539,75,74,-19.8,-174.35,302.15,4.6
425,palmer,US,1581469539,90,93,42.16,-72.33,277.59,5.7
426,tias,ES,1581469539,0,48,28.96,-13.64,292.15,5.1
427,leningradskiy,RU,1581468832,50,93,69.38,178.42,243.98,5.07
428,zarkos,GR,1581469539,20,93,39.62,22.13,279.15,0.88
429,ugoofaaru,MV,1581469540,57,75,5.67,73.0,301.44,9.4
430,katobu,ID,1581469540,53,84,-4.94,122.53,299.87,1.35
431,vao,NC,1581468985,100,85,-22.67,167.48,299.79,13.81
432,colwyn bay,GB,1581469540,71,64,53.29,-3.73,278.71,11.8
433,scarborough,GB,1581469540,36,69,54.28,-0.4,277.59,9.8
434,coari,BR,1581469540,85,94,-4.08,-63.14,297.51,0.94
435,yasnyy,RU,1581469540,100,93,51.03,59.87,263.91,4.86
436,vega de alatorre,MX,1581469541,4,87,20.03,-96.63,297.33,4.66
437,havre-saint-pierre,CA,1581469541,90,85,50.23,-63.6,266.15,3.1
438,marshall,US,1581469541,90,93,34.38,-86.33,283.15,2.1
439,takaka,NZ,1581468956,38,69,-40.85,172.8,298.15,2.68
440,goundam,ML,1581469541,76,35,16.41,-3.67,297.29,9.94
441,aketi,CD,1581469541,23,41,2.74,23.78,293.01,0.78
442,malindi,KE,1581469541,70,95,-3.22,40.12,297.13,1.29
443,zanzibar,TZ,1581469541,0,79,-6.16,39.2,301.06,2.21
444,wuwei,CN,1581469541,0,13,37.93,102.64,272.94,2.47
445,chaozhou,CN,1581469541,75,93,23.67,116.64,290.15,1.0
446,moindou,NC,1581469542,100,62,-21.69,165.68,304.15,6.2
447,bowen,AU,1581469542,28,70,-20.02,148.23,304.15,2.6
448,conceicao da barra,BR,1581469542,93,84,-18.59,-39.73,300.72,5.67
449,trinidad,BO,1581469542,96,97,-14.83,-64.9,296.56,0.9
450,zeya,RU,1581469542,68,89,53.75,127.27,255.73,1.81
451,vila,PT,1581469542,90,100,42.03,-8.16,286.48,1.0
452,springfield,US,1581469512,75,64,37.22,-93.3,277.04,1.86
453,tigil,RU,1581469542,100,94,57.8,158.67,257.87,3.73
454,deputatskiy,RU,1581469542,75,78,69.3,139.9,246.16,0.12
455,hamilton,US,1581468910,90,64,39.18,-84.53,276.48,2.37
456,calbuco,CL,1581469543,40,68,-41.77,-73.13,293.15,2.1
457,princeville,CA,1581469543,90,92,45.77,-61.3,270.93,4.1
458,karangasem,ID,1581469543,20,83,-8.45,115.62,302.15,2.1
459,levin,NZ,1581469382,35,64,-40.63,175.28,300.93,2.23
460,katete,UG,1581469543,99,72,-0.78,29.75,288.9,1.49
461,saint-francois,FR,1581469543,69,89,46.42,3.91,278.71,1.5
462,sung noen,TH,1581469543,89,62,14.9,101.82,299.82,1.64
463,sarkand,KZ,1581469543,33,70,45.41,79.92,262.63,1.25
464,fairbanks,US,1581469544,33,83,64.84,-147.72,251.48,1.5
465,antibes,FR,1581469544,11,37,43.56,7.13,287.04,3.6
466,tucupita,VE,1581469544,25,79,9.06,-62.05,297.91,2.94
467,maralal,KE,1581469544,96,60,1.1,36.7,292.0,3.5
468,lasa,IT,1581469544,75,45,46.62,10.7,271.15,5.1
469,yar-sale,RU,1581469544,99,95,66.83,70.83,261.8,4.36
470,cayenne,GF,1581469463,75,78,4.93,-52.33,299.15,4.1
471,kourou,GF,1581469544,75,78,5.16,-52.65,299.15,4.1
472,churapcha,RU,1581469544,71,98,62.0,132.43,247.87,2.07
473,kitob,UZ,1581469544,67,76,39.08,66.83,279.2,2.17
474,pitimbu,BR,1581469354,12,88,-7.47,-34.81,299.15,3.1
475,ust-tsilma,RU,1581469545,100,85,65.44,52.15,269.33,4.67
476,santiago,CL,1581469486,11,47,-33.46,-70.65,298.15,2.1
477,cap malheureux,MU,1581469545,75,88,-19.98,57.61,299.26,6.2
478,batticaloa,LK,1581469545,62,94,7.71,81.69,295.95,1.31
479,moree,AU,1581469545,75,74,-29.47,149.85,299.15,4.6
480,itaituba,BR,1581469545,60,94,-4.28,-55.98,297.16,0.24
481,banjar,ID,1581469546,20,83,-8.19,114.97,302.15,2.1
482,portobelo,PA,1581469546,20,65,9.55,-79.65,301.15,2.6
483,linqiong,CN,1581469546,27,93,30.42,103.46,287.04,0.68
484,kitgum,UG,1581469546,96,32,3.28,32.89,297.12,0.77
485,kayerkan,RU,1581468954,40,84,69.35,87.76,256.15,17.0
486,aden,YE,1581469546,84,78,12.78,45.04,297.29,4.54
487,floriano,BR,1581469360,17,88,-6.77,-43.02,297.99,1.31
488,marinette,US,1581469308,90,73,45.1,-87.63,269.15,3.1
489,mitsamiouli,KM,1581469547,6,69,-11.38,43.28,301.92,1.33
490,cocobeach,GA,1581469547,40,83,1.0,9.58,302.15,3.1
491,goya,AR,1581469547,0,33,-29.14,-59.26,298.49,3.4
492,honiara,SB,1581469547,75,63,-9.43,159.95,306.15,6.2
493,northam,GB,1581468953,20,100,51.03,-4.22,279.26,3.6
494,cururupu,BR,1581469547,99,99,-1.83,-44.87,296.6,1.09
495,manggar,ID,1581469547,100,76,-2.88,108.27,300.92,2.23
496,osorno,CL,1581469547,0,70,-40.57,-73.15,291.54,1.91
497,makakilo city,US,1581469548,75,88,21.35,-158.09,300.15,5.7
498,beloha,MG,1581469548,0,89,-25.17,45.05,293.75,3.88
499,rancho palos verdes,US,1581469548,5,21,33.74,-118.39,294.82,2.6
500,moose factory,CA,1581469548,90,78,51.26,-80.61,263.15,2.6
501,coruripe,BR,1581469548,1,77,-10.13,-36.18,300.04,5.46
502,belaya gora,RU,1581469548,78,73,68.53,146.42,240.52,0.78
503,praia da vitoria,PT,1581469548,75,93,38.73,-27.07,288.15,4.3
504,sanmenxia,CN,1581469548,0,61,34.77,111.18,279.51,1.21
505,dalby,AU,1581469549,40,78,-27.18,151.27,304.26,4.6
506,manado,ID,1581469258,20,88,1.49,124.85,300.15,1.0
507,lashio,MM,1581469549,0,78,22.93,97.75,282.81,0.83
508,tondano,ID,1581468955,20,88,1.3,124.91,300.15,1.0
509,tezu,IN,1581468955,99,56,27.92,96.17,286.16,1.26
510,aitape,PG,1581469549,100,76,-3.14,142.35,300.55,3.08
511,west bay,KY,1581469549,20,83,19.37,-81.42,300.15,4.1
512,severnoye,RU,1581469549,100,94,56.35,78.36,256.15,4.04
513,bocaiuva,BR,1581469550,75,78,-17.11,-43.81,297.15,2.6
514,posse,BR,1581469550,30,88,-14.09,-46.37,295.8,0.65
515,les cayes,HT,1581469550,0,71,18.2,-73.75,300.32,8.15
516,sao jose da coroa grande,BR,1581468725,0,78,-8.9,-35.15,300.94,6.29
517,constitucion,CL,1581469550,16,82,-35.33,-72.42,287.9,5.24
518,teguise,ES,1581469550,0,48,29.06,-13.56,292.15,5.1
519,ostrovnoy,RU,1581469550,100,85,68.05,39.51,272.98,14.03
520,ndele,CF,1581469550,0,15,8.41,20.65,294.24,4.45
521,jadu,LY,1581469550,0,26,31.95,12.03,285.71,1.97
522,igarka,RU,1581469551,100,94,67.47,86.58,255.7,10.5
523,padang,ID,1581468981,100,94,-0.95,100.35,293.92,2.49
524,bilibino,RU,1581469551,0,64,68.05,166.44,245.87,1.75
525,narsaq,GL,1581469551,24,42,60.92,-46.05,258.15,2.6
526,tulagi,SB,1581469551,75,63,-9.1,160.15,306.15,6.2
527,richards bay,ZA,1581468960,15,71,-28.78,32.04,297.17,5.62
528,buin,CL,1581469551,11,47,-33.73,-70.75,298.15,2.1
529,caronport,CA,1581469329,100,89,50.45,-105.82,269.26,4.92
530,necochea,AR,1581469551,0,90,-38.55,-58.74,290.37,2.68
531,peterhead,GB,1581469552,68,89,57.51,-1.8,278.15,9.3
532,kalawit,PH,1581469552,70,79,8.07,122.52,297.96,6.52
533,waddan,LY,1581469552,0,23,29.16,16.14,287.04,1.41
534,tshikapa,CD,1581469552,100,95,-6.42,20.8,294.28,0.91
535,luganville,VU,1581469552,75,74,-15.53,167.17,304.15,3.6
536,kayanga,TZ,1581469552,100,78,-1.53,31.15,289.68,1.17
537,aginskoye,RU,1581469552,96,72,51.1,114.53,260.98,5.7
538,varhaug,NO,1581469553,75,75,58.61,5.65,279.15,8.2
539,manokwari,ID,1581469553,100,66,-0.87,134.08,299.48,1.34
540,omboue,GA,1581469553,100,94,-1.57,9.26,297.5,1.15
541,tsiroanomandidy,MG,1581469553,94,94,-18.77,46.03,293.09,0.7
542,saint-leu,RE,1581469553,26,94,-21.15,55.28,299.15,6.2
543,kruisfontein,ZA,1581469553,0,91,-34.0,24.73,290.28,3.61
544,souillac,MU,1581469553,75,88,-20.52,57.52,299.26,6.2
545,yancheng,CN,1581469553,62,95,33.39,120.13,280.16,2.98
546,abapo,BO,1581469554,99,70,-18.83,-63.47,295.95,0.92
547,coihaique,CL,1581469554,75,63,-45.58,-72.07,292.15,2.2
548,the valley,AI,1581469554,20,78,18.22,-63.06,298.71,6.2
549,saint-joseph,RE,1581469554,0,94,-21.37,55.62,299.15,6.2
550,badami,IN,1581469554,0,84,15.91,75.68,291.69,4.01
551,san carlos de bariloche,AR,1581469531,20,26,-41.15,-71.31,294.15,5.1
552,dalbandin,PK,1581469554,100,37,28.89,64.41,289.82,5.59
553,bubaque,GW,1581468970,0,76,11.28,-15.83,299.26,7.21
554,rabak,SD,1581469554,39,12,13.18,32.74,289.06,5.72
555,khor,RU,1581469555,100,94,47.89,134.95,270.01,3.2
556,staunton,US,1581469522,90,100,38.15,-79.07,288.15,3.88
557,iracoubo,GF,1581469555,31,76,5.48,-53.2,299.97,8.61
558,asyut,EG,1581469531,0,55,27.18,31.18,281.52,2.81
559,rundu,NA,1581469555,86,69,-17.93,19.77,296.15,1.0
560,tungor,RU,1581469555,100,92,53.38,142.96,258.66,3.88
561,balaghat,IN,1581469555,0,44,21.8,80.18,286.98,1.77
562,przhevalskoye,RU,1581469555,99,93,55.51,31.85,273.35,4.55
563,mikkeli,FI,1581469555,90,94,61.67,27.25,274.15,3.1
564,san quintin,MX,1581468972,0,51,30.48,-115.95,289.24,6.99
565,vila franca do campo,PT,1581469556,75,87,37.72,-25.43,288.15,4.1
566,oktyabrskiy,RU,1581469556,99,85,54.48,53.47,262.61,3.82
567,dharchula,IN,1581469556,0,23,29.85,80.53,274.78,4.69
568,sistranda,NO,1581469556,75,100,63.73,8.83,275.15,7.7
569,port augusta,AU,1581469556,75,60,-32.5,137.77,297.59,6.2
570,lahij,YE,1581469556,95,87,13.17,44.58,295.2,3.4
571,micheweni,TZ,1581469556,10,81,-4.97,39.83,301.25,4.36
572,naze,JP,1581469556,75,68,28.37,129.48,294.15,8.7
573,diego de almagro,CL,1581469557,8,44,-26.37,-70.05,291.04,1.36
574,mosterhamn,NO,1581469557,87,86,59.7,5.38,278.15,10.8
575,abu dhabi,AE,1581469557,100,63,24.47,54.37,290.15,8.2
576,nanga eboko,CM,1581469557,43,35,4.68,12.37,291.23,0.62
577,katherine,AU,1581469557,99,74,-14.47,132.27,301.15,3.6
578,champerico,GT,1581469557,40,66,14.3,-91.92,303.15,3.1
579,ekhabi,RU,1581469557,100,92,53.51,142.97,258.66,3.88
580,lervik,GB,1581469557,69,75,60.15,-1.15,278.15,10.8
581,alyangula,AU,1581469557,90,74,-13.85,136.42,304.15,3.6
582,delemont,CH,1581469558,75,83,47.36,7.34,278.15,1.0
583,gretna,US,1581469474,90,94,29.91,-90.05,297.59,2.6
584,telimele,GN,1581469558,0,64,10.92,-13.33,292.85,0.2
585,vangaindrano,MG,1581469558,60,91,-23.35,47.6,294.09,0.47
586,arcachon,FR,1581469558,75,93,44.59,-1.05,280.15,0.5
587,kashi,CN,1581469307,15,34,39.45,75.98,274.15,5.0
588,panaba,MX,1581469558,0,53,21.28,-88.27,301.44,5.36
589,barcelona,ES,1581469427,20,87,41.39,2.16,287.59,1.0
590,tahta,EG,1581469559,0,68,26.77,31.5,279.78,1.39
591,dickinson,US,1581469559,90,93,29.46,-95.05,289.26,3.1
592,rosetta,EG,1581469559,5,73,31.4,30.42,287.76,5.45
593,sabya,SA,1581469559,75,69,17.15,42.63,297.15,4.1
594,college,US,1581469559,40,69,64.86,-147.8,250.93,2.1
595,aquiraz,BR,1581468978,40,74,-3.9,-38.39,301.48,2.6
